id,issue,solve
194,Keyboard berfungsi tapi tidak ada respon di game,Periksa pengaturan input di dalam game dan pastikan anti-ghosting aktif.
195,Keyboard wireless sering disconnect,Pindahkan receiver ke port depan dan jauhkan dari interferensi perangkat lain.
196,Keyboard mengetik lambat setelah sleep,Nonaktifkan mode hemat daya USB di Device Manager.
197,Keyboard mengetik huruf ganda,Atur pengaturan repeat delay di Control Panel > Keyboard.
198,Backlight keyboard tidak menyala,Tekan Fn + F5 (atau kombinasi sesuai merek) untuk menyalakan lampu keyboard.
199,Keyboard mengeluarkan suara bip saat mengetik,Matikan fitur toggle keys di Control Panel > Ease of Access.
200,Keyboard rusak karena air,"Matikan komputer segera, lepaskan keyboard, dan keringkan minimal 24 jam."
201,Keyboard tidak bisa mengetik angka,Pastikan Num Lock aktif untuk mengaktifkan keypad numerik.
202,Keyboard USB tidak terdeteksi,Update driver keyboard atau gunakan port USB lain yang masih aktif.
203,Tombol arah tidak berfungsi,Periksa apakah tombol Num Lock mempengaruhi area panah (khusus keyboard kecil).
204,Keyboard terasa berat saat mengetik,Bersihkan seluruh permukaan keyboard dan pastikan tidak ada debu tebal.
205,Keyboard sering delay,Pastikan tidak ada aplikasi berat berjalan di background yang memengaruhi input delay.
206,Keyboard mengetik huruf kapital terus,Periksa tombol Shift apakah macet atau ditekan terus.
207,Keyboard gaming tidak berfungsi di BIOS,Gunakan port USB 2.0 dan nonaktifkan mode fast boot di BIOS.
208,Keyboard wireless tidak respon,Coba reset koneksi dengan menekan tombol connect di keyboard.
209,Keyboard mekanik menimbulkan suara aneh,Bersihkan switch tombol dan berikan pelumas ringan bila perlu.
210,Keyboard laptop mengetik huruf acak,Lakukan kalibrasi ulang driver keyboard atau gunakan virtual keyboard untuk tes.
211,Keyboard eksternal tidak sinkron,Periksa pengaturan bahasa input dan layout di OS.
212,Keyboard kadang tidak merespon,Nonaktifkan fitur USB selective suspend di Power Options.
213,Keyboard mengetik angka saat huruf ditekan,Periksa apakah Num Lock aktif pada keyboard laptop kecil (tanpa keypad).
214,Keyboard hanya berfungsi sebagian,Tes keyboard di komputer lain untuk memastikan kerusakan hardware atau software.
215,Keyboard delay di aplikasi tertentu,Periksa pengaturan input aplikasi dan pastikan tidak ada konflik shortcut.
216,Keyboard mengetik simbol berbeda,Atur kembali input language ke English (US) di pengaturan bahasa.
217,Keyboard Bluetooth tidak bisa pairing,Hapus perangkat dari daftar dan lakukan pairing ulang dari awal.
218,Keyboard tidak bisa digunakan di login screen,Masuk ke safe mode dan reinstall driver keyboard.
219,Keyboard macet saat mengetik cepat,Matikan fitur filter keys dan ubah repeat rate di pengaturan keyboard.
220,Keyboard mengetik tapi tidak muncul di layar,Periksa apakah input dialihkan ke remote desktop atau aplikasi lain.
221,Keyboard laptop tidak stabil setelah update,Rollback driver keyboard ke versi sebelumnya melalui Device Manager.
222,Keyboard wireless tidak konek di Windows 10,Jalankan troubleshooter hardware di Settings > Update & Security.
223,Keyboard mengetik huruf tapi muncul angka,"Periksa apakah Num Lock aktif, terutama pada laptop tanpa keypad."
224,Keyboard respon lambat di Word,Periksa add-ins yang aktif dan matikan fitur autocorrect berlebih.
225,Keyboard mekanik tidak terdeteksi,Gunakan port USB lain dan pastikan firmware keyboard terupdate.
226,Keyboard mengetik huruf ganda di laptop,Periksa pengaturan keyboard repeat rate dan bersihkan tombol yang menekan ganda.
227,Keyboard wireless sering putus sambung,Pastikan jarak antara keyboard dan receiver tidak lebih dari 2 meter.
228,Keyboard tidak bisa diketik di beberapa aplikasi,Coba jalankan aplikasi sebagai administrator dan pastikan input aktif.
229,Keyboard tidak muncul di remote desktop,Aktifkan 'Apply Windows key combinations' di pengaturan RDP.
230,Keyboard on-screen tidak bisa dibuka,Aktifkan manual melalui Ease of Access > Keyboard di Control Panel.
231,Keyboard kadang salah huruf,Periksa layout input dan pastikan tidak ada driver pihak ketiga mengubah input.
232,Keyboard tidak menyala setelah PC dinyalakan,Periksa port USB dan pastikan kabel keyboard terpasang dengan benar.
233,Keyboard mengetik simbol aneh setiap huruf ditekan,Atur kembali bahasa input ke English (US) di pengaturan sistem.
234,Keyboard tidak merespons setelah update driver,Rollback driver ke versi sebelumnya melalui Device Manager.
235,Keyboard laptop terkunci dan tidak bisa mengetik,Tekan kombinasi Fn + Num Lock untuk membuka kunci keyboard.
236,Keyboard tidak berfungsi setelah dibersihkan,Pastikan semua kabel terpasang kembali dan keyboard tidak lembab.
237,Keyboard mengetik huruf sendiri,Periksa apakah tombol macet atau terkena debu di bawah tombol.
238,Keyboard wireless tidak bisa pairing,Tekan tombol koneksi di keyboard dan receiver secara bersamaan.
239,Keyboard mengetik dua kali setiap huruf ditekan,Kurangi pengaturan repeat rate di Control Panel > Keyboard.
240,Keyboard mekanik tidak terdeteksi oleh sistem,Gunakan port USB 2.0 dan perbarui firmware keyboard.
241,Keyboard laptop hanya sebagian berfungsi,Periksa konektor fleksibel keyboard di motherboard laptop.
242,Keyboard mengetik karakter lambat,Nonaktifkan fitur Filter Keys di pengaturan Ease of Access.
243,Keyboard tidak bekerja di layar login,Gunakan on-screen keyboard sementara untuk login lalu reinstall driver.
244,Keyboard mengetik huruf kapital terus,Pastikan tombol Shift atau Caps Lock tidak macet.
245,Keyboard wireless sering disconnect,Ganti baterai dan pastikan receiver tidak tertutup benda logam.
246,Keyboard tidak terdeteksi di BIOS,Aktifkan legacy USB support di BIOS.
247,Keyboard Bluetooth gagal tersambung,Hapus perangkat dari daftar Bluetooth dan lakukan pairing ulang.
248,Keyboard mengetik angka saat huruf ditekan,"Matikan Num Lock, terutama di laptop tanpa keypad numerik."
249,Keyboard mengetik spasi sendiri,Bersihkan bagian bawah tombol spasi dengan udara bertekanan.
250,Keyboard laptop tidak berfungsi setelah update Windows,Restart sistem dan reinstall driver keyboard.
251,Keyboard eksternal tidak berfungsi di laptop,Pastikan port USB aktif dan tidak dalam mode hemat daya.
252,Keyboard on-screen tidak muncul,Aktifkan manual di Settings > Ease of Access > Keyboard.
253,Keyboard mengetik simbol berbeda dari yang ditekan,Ubah layout keyboard ke QWERTY.
254,Keyboard berhenti bekerja setelah sleep mode,Nonaktifkan opsi power saving untuk USB di Device Manager.
255,Keyboard mengetik huruf terbalik,Periksa apakah fungsi input language tertukar (Alt + Shift).
256,Keyboard terasa berat saat mengetik,Bersihkan sela tombol dan pastikan tidak ada kotoran yang mengganjal.
257,Keyboard gaming tidak menyala lampunya,Cek software bawaan seperti iCUE atau Razer Synapse.
258,Keyboard mengetik simbol @ tidak muncul,Gunakan kombinasi Shift + 2 atau Alt + 64 dan pastikan layout English (US).
259,Keyboard mengetik tapi karakter tidak muncul di layar,Periksa koneksi input dan pastikan aplikasi fokus di jendela aktif.
260,Keyboard macet di tombol tertentu,Lepas tombol dan bersihkan bagian dalam dengan hati-hati.
261,Keyboard laptop tidak berfungsi setelah servis,Pastikan kabel fleksibel keyboard tersambung dengan benar.
262,Keyboard mengetik huruf ganda di game,Ubah delay input di pengaturan game atau nonaktifkan makro keyboard.
263,Keyboard wireless tidak berfungsi di Windows 11,Jalankan hardware troubleshooter di Settings > System > Troubleshoot.
264,Keyboard mengetik angka padahal huruf ditekan,Pastikan Num Lock tidak aktif di keyboard laptop.
265,Keyboard laptop mengetik acak,Hapus dan install ulang driver keyboard melalui Device Manager.
266,Keyboard tidak bisa digunakan setelah BIOS update,Reset BIOS ke pengaturan default.
267,Keyboard mengetik delay saat dihubungkan ke USB hub,"Gunakan port langsung di motherboard, bukan dari hub eksternal."
268,Keyboard mengetik lambat setelah lama digunakan,Restart komputer untuk menghapus cache sistem input.
269,Keyboard Bluetooth sering lag,Dekatkan keyboard ke perangkat dan hindari gangguan sinyal Wi-Fi.
270,Keyboard mengetik angka 0 terus-menerus,Bersihkan tombol 0 dan pastikan tidak macet secara mekanik.
271,Keyboard gaming tidak berfungsi saat boot,Coba sambungkan ke port USB lain dan nonaktifkan fast boot di BIOS.
272,Keyboard tidak berfungsi di aplikasi tertentu,Jalankan aplikasi dengan izin administrator dan periksa akses input.
273,Keyboard mengetik lambat di Microsoft Word,Matikan add-ins yang tidak diperlukan dan periksa autocorrect.
274,Keyboard laptop macet setelah jatuh,Periksa kerusakan fisik atau ganti keyboard jika perlu.
275,Keyboard mengetik simbol “=” saat tekan spasi,Reset layout keyboard dan bersihkan tombol.
276,Keyboard eksternal berhenti bekerja tiba-tiba,Coba gunakan di komputer lain untuk memastikan kondisi hardware.
277,Keyboard mengetik karakter ganda saat tekan cepat,Ubah pengaturan repeat delay di Control Panel.
278,Keyboard mekanik bergetar saat mengetik,Gunakan alas karet atau foam pad untuk meredam suara dan getaran.
279,Keyboard wireless tidak berfungsi setelah ganti baterai,Hubungkan ulang ke receiver menggunakan tombol connect.
280,Keyboard mengetik huruf tapi tidak muncul di browser,Bersihkan cache browser dan periksa ekstensi yang mengganggu input.
281,Keyboard laptop kehilangan fungsi tombol F,Tekan Fn + Esc untuk mengaktifkan kembali mode fungsi standar.
282,Headphone tidak terdeteksi di laptop,Pastikan jack audio terpasang penuh dan pilih output device yang benar di Sound Settings.
283,Suara hanya keluar di satu sisi headphone,"Periksa kabel jack, bersihkan port audio, atau coba di perangkat lain untuk memastikan kerusakan."
284,Headphone Bluetooth tidak tersambung ke laptop,Hapus perangkat dari daftar Bluetooth lalu lakukan pairing ulang.
285,TWS tidak bisa terhubung ke ponsel,Masukkan ke mode pairing ulang dengan menekan tombol pada kedua earbud selama beberapa detik.
286,Suara headphone delay saat menonton video,Aktifkan mode low latency di aplikasi atau update driver Bluetooth.
287,Headphone terdengar kecil meski volume penuh,Periksa pengaturan volume mixer dan pastikan tidak aktif mode volume limit.
288,Mikrofon pada headset tidak berfungsi,Pilih input device headset di pengaturan suara dan izinkan akses mikrofon.
289,Headphone TWS salah satu sisi tidak menyala,Letakkan kedua earbud di case dan tekan reset 10 detik untuk sinkronisasi ulang.
290,Headphone mengeluarkan suara berdengung,"Ganti port USB atau audio jack, dan pastikan tidak ada gangguan listrik."
291,Headphone sering disconnect sendiri,Pastikan baterai penuh dan perangkat tidak terlalu jauh dari sumber Bluetooth.
292,Headphone tidak berfungsi di aplikasi meeting,Pilih perangkat audio headphone di menu audio settings aplikasi tersebut.
293,Headphone wireless tidak muncul di daftar Bluetooth,Aktifkan mode pairing dengan menahan tombol power beberapa detik hingga lampu berkedip.
294,Headphone Bluetooth tersambung tapi tidak ada suara,Pilih output device Bluetooth di menu suara dan restart perangkat audio.
295,TWS tidak mengisi daya di case,Bersihkan pin konektor dan pastikan casing terhubung dengan kabel daya yang baik.
296,Headphone terasa panas saat digunakan,Gunakan di ruangan berventilasi dan hindari pemakaian sambil di-charge.
297,Headphone Bluetooth tidak bisa connect ke dua perangkat,Nonaktifkan koneksi multipoint jika perangkat tidak mendukung.
298,Headphone kabel tidak berfungsi di port depan PC,Coba colok ke port belakang motherboard.
299,TWS tidak sinkron kanan dan kiri,Lakukan factory reset dengan menekan kedua tombol selama 10–15 detik.
300,Suara headphone pecah pada volume tinggi,Kurangi volume atau aktifkan mode equalizer flat.
301,Headphone tidak berfungsi setelah update Windows,Reinstall driver audio melalui Device Manager.
302,TWS tidak bisa masuk mode pairing,Pastikan kedua earbud tidak sedang terhubung ke perangkat lain.
303,Headphone Bluetooth tidak bisa connect ke PC kantor,Pastikan adapter Bluetooth aktif dan tidak dibatasi oleh kebijakan IT.
304,Headphone berdengung saat dicharge,Hindari penggunaan sambil charging atau gunakan kabel original.
305,TWS cepat habis baterai,Nonaktifkan fitur auto-play dan simpan kembali ke case saat tidak digunakan.
306,Headphone tidak terdeteksi di ponsel Android,Reset pengaturan jaringan Bluetooth dan restart ponsel.
307,TWS hanya bisa digunakan di satu sisi,Sinkronisasi ulang dengan menekan kedua tombol selama 5 detik.
308,Headphone delay saat main game,Aktifkan game mode di aplikasi pendukung TWS.
309,TWS tidak bisa menerima panggilan,Pastikan profil Hands-Free aktif di pengaturan Bluetooth.
310,Headphone wired kadang bunyi kadang tidak,Bersihkan jack audio dengan cotton bud dan alkohol isopropil.
311,Headphone Bluetooth terus minta PIN,"Gunakan default PIN seperti 0000 atau 1234, atau reset perangkat."
312,Headphone suara tidak seimbang,Periksa balance setting di Sound Control Panel.
313,Headphone wireless tidak muncul di sound output,Pilih device secara manual di Playback devices.
314,Headphone terhubung tapi mikrofon tidak aktif,Aktifkan opsi input headset di sound settings.
315,Headphone berdengung jika dekat HP,Pindahkan kabel dari sumber gangguan elektromagnetik.
316,TWS terhubung tapi tidak mengeluarkan suara,Pilih perangkat TWS sebagai default output device.
317,Headphone Bluetooth tersambung ke perangkat lain,Putuskan koneksi dari perangkat lama sebelum pairing baru.
318,Headphone terdengar gemerisik,Ganti kabel audio atau pastikan konektor bersih.
319,TWS tidak bisa direset,Tekan dan tahan tombol reset di kedua earbud selama 10 detik.
320,Headphone tidak cocok di telinga,Gunakan eartip dengan ukuran berbeda yang disediakan dalam paket.
321,Headphone tidak berfungsi setelah jatuh,"Coba di perangkat lain; jika tetap mati, kemungkinan kerusakan fisik."
322,Headphone Bluetooth sering delay di Zoom,Gunakan koneksi Bluetooth 5.0 dan tutup aplikasi lain yang memakai audio.
323,Headphone wired longgar di port,Gunakan converter atau adaptor yang lebih presisi.
324,Headphone tidak bisa mengatur volume,Pastikan driver HID (Human Interface Device) aktif di Device Manager.
325,Headphone tidak berfungsi di MacBook,Reset NVRAM dan SMC untuk memperbaiki konfigurasi audio.
326,Headphone wireless tidak terdeteksi di Windows 11,Jalankan audio troubleshooter di Settings > Sound.
327,Headphone terhubung tapi suara keluar dari speaker laptop,Ubah default audio output ke headset di Control Panel.
328,Headphone tidak bisa digunakan untuk rekaman,Pilih microphone input dari headset di software rekamannya.
329,Headphone suaranya berubah-ubah,Matikan fitur spatial sound di pengaturan suara.
